1986,September,Corporation Tax,18637
1986,September,Valued Added Tax,225922
1986,September,Training and Employment Levy,2304
1986,September,Motor Vehicle Duties,12241
1986,October,Customs,11047
1986,October,Excise Duty,142952
1986,October,Capital Gains Tax,3521
1986,October,Stamps,13193
1986,October,Income Tax,396873
1986,October,Corporation Tax,26698
1986,October,Valued Added Tax,116441
1986,October,Training and Employment Levy,22190
1986,October,Motor Vehicle Duties,13018
1986,November,Customs,7618
1986,November,Excise Duty,144344
1986,November,Capital Gains Tax,3273
1986,November,Stamps,42780
1986,November,Income Tax,274610
1986,November,Corporation Tax,43581
1986,November,Valued Added Tax,220199
1986,November,Training and Employment Levy,10005
1986,November,Motor Vehicle Duties,12941
1986,December  ,Customs,7824
1986,December  ,Excise Duty,214982
1986,December  ,Capital Gains Tax,3803
1986,December  ,Stamps,10794
1986,December  ,Income Tax,275674
1986,December  ,Corporation Tax,12837
1986,December  ,Valued Added Tax,135933
1986,December  ,Training and Employment Levy,13509
1986,December  ,Motor Vehicle Duties,10303
1987,January,Customs,9777
1987,January,Excise Duty,96819
1987,January,Capital Gains Tax,2627
1987,January,Stamps,9180
1987,January,Income Tax,202349
1987,January,Corporation Tax,7996
1987,January,Valued Added Tax,187177
1987,January,Training and Employment Levy,10175
1987,January,Motor Vehicle Duties,14272
1987,February,Customs,8253
1987,February,Excise Duty,151616
1987,February,Capital Gains Tax,2840
1987,February,Stamps,14272
1987,February,Income Tax,270369
1987,February,Corporation Tax,18249
1987,February,Valued Added Tax,171323
1987,February,Training and Employment Levy,8790
1987,February,Motor Vehicle Duties,19321
1987,March,Customs,5714
1987,March,Excise Duty,133846
1987,March,Capital Gains Tax,3551
1987,March,Stamps,23314
1987,March,Income Tax,231706
1987,March,Corporation Tax,15850
1987,March,Valued Added Tax,187730
1987,March,Training and Employment Levy,10380
1987,March,Motor Vehicle Duties,15455
1987,April,Customs,10158
1987,April,Excise Duty,136357
1987,April,Capital Gains Tax,4223
1987,April,Stamps,7046
1987,April,Income Tax,390941
1987,April,Corporation Tax,22543
1987,April,Valued Added Tax,122894
1987,April,Training and Employment Levy,11061
